# object_name   ref_object  relative_x relative_y 
Knight_137   Bishop_99  -29100 9970 
King_138   Bishop_99  -132639 280022 
King_139   Rook_20  275246 46189 
King_140   Bishop_124  29120 -23988 
Rook_141   Queen_19  -30494 -189234 
Queen_142   Knight_125  -736 56659 
Knight_143   Rook_104  -839 146785 
Bishop_144   Knight_27  -161093 -92689 
Queen_145   Queen_26  7128 212104 
Queen_146   Knight_68  -56619 9060 
Rook_147   Bishop_55  130805 46717 
Bishop_148   Queen_60  77940 88329 
Knight_149   Rook_147  57199 172714 
King_150   Bishop_89  -63494 46270 
King_151   Bishop_52  -65065 57543 
Queen_152   Knight_93  -7448 97917 
Queen_153   King_33  30606 -145663 
King_154   Queen_115  100607 189435 
King_155   Bishop_35  -35355 -178624 
Knight_156   Rook_79  253157 15265 
Bishop_157   King_36  102316 -203780 
Rook_158   Bishop_116  -32514 -6252 
Bishop_159   Rook_49  -76609 -101554 
Knight_160   Rook_108  -51794 154571 
King_161   Bishop_124  83163 -25092 
King_162   Queen_86  20609 -625 
Bishop_163   Knight_107  29673 -152715 
King_164   Knight_93  -118224 4906 
Knight_165   Knight_101  -28663 73337 
Bishop_166   King_76  16583 -226803 
Rook_167   King_161  40305 31897 
Bishop_168   Bishop_133  -139285 104105 
Queen_169   King_28  63108 44955 
Rook_170   King_42  -15977 -42242 
Bishop_171   Bishop_114  276997 165228 
Bishop_172   King_53  -18350 -146843 
Knight_173   Rook_167  -14736 -127044 
Queen_174   Bishop_116  -262460 -82228 
Rook_175   Bishop_72  35207 94486 
Bishop_176   Queen_130  80700 30682 
Knight_177   King_67  192978 -15315 
King_178   Knight_125  85419 -38273 
Rook_179   Queen_135  -121833 -222354 
Knight_180   Queen_26  -125168 136817 
Bishop_181   Bishop_163  -4494 153434 
King_182   Rook_45  130573 194460 
Rook_183   Origin  157019 140789 
Rook_184   King_138  223474 -144773 
Bishop_185   Rook_20  130545 -95582 
Bishop_186   Rook_122  58428 -206999 
Knight_187   Queen_15  71858 -89652 
Queen_188   Knight_149  -173369 -160803 
Knight_189   Rook_119  -220509 39987 
King_190   Rook_69  48925 -120501 
Knight_191   King_36  165254 -18327 
King_192   Knight_68  45475 270021 
Queen_193   King_84  -249621 -68885 
Bishop_194   Bishop_116  -53811 -97616 
Knight_195   Knight_125  30203 154218 
Rook_196   Bishop_109  231110 207746 
Queen_197   King_182  -263003 -158196 
Knight_198   Bishop_88  23618 59239 
Queen_199   Bishop_61  12281 -24108 
Queen_200   Queen_73  -121443 225314 
Knight_201   Queen_51  -229155 -110836 
Rook_202   Knight_103  50083 -137580 
Bishop_203   Queen_57  165885 -72166 
Bishop_204   Bishop_166  29887 -35891 
Rook_205   Knight_106  46178 -26886 
Bishop_206   Bishop_194  -48980 14952 
Queen_207   Rook_21  -127428 241406 
King_208   Bishop_80  -49768 -47254 
King_209   Bishop_109  14472 70199 
Knight_210   King_10  245054 8932 
Bishop_211   King_36  72875 9934 
Rook_212   Bishop_166  -49669 50909 
Knight_213   Knight_177  -164007 19538 
Bishop_214   Queen_38  34666 -68790 
Knight_215   Knight_177  2283 -31704 
Knight_216   Bishop_172  -58543 -56037 
Bishop_217   Rook_32  170534 -102183 
Bishop_218   Rook_20  282988 -23295 
King_219   Bishop_92  -232482 35247 
King_220   Knight_143  -100471 -148508 
Knight_221   Knight_27  -77607 -113688 
Queen_222   King_161  -46920 -136667 
Knight_223   King_36  -87928 -21002 
Knight_224   Knight_125  195110 105074 
Knight_225   Queen_48  -222608 -5635 
Rook_226   Queen_188  216703 149565 
Bishop_227   Rook_44  -17329 65685 
King_228   Queen_15  113212 69982 
Rook_229   Queen_200  13366 -45227 
Bishop_230   Bishop_40  213787 128392 
King_231   Knight_156  -199861 214330 
Knight_232   Queen_142  26614 28270 
Knight_233   Rook_141  -118985 99274 
Queen_234   Knight_156  -267289 35310 
Bishop_235   King_164  235513 -43946 
Bishop_236   Bishop_96  19601 -40392 
Rook_237   King_182  -174055 -137272 
Queen_238   Rook_183  73357 -57384 
Knight_239   Knight_47  -82064 225702 
Knight_240   King_98  -134821 -80006 
Bishop_241   Rook_24  -179221 230621 
Bishop_242   Knight_180  51107 55770 
Bishop_243   King_154  -171311 -88553 
Rook_244   Queen_16  -5587 -5946 
King_245   Bishop_241  -24059 -11164 
Queen_246   Bishop_89  111744 -91624 
Rook_247   Knight_95  131757 -170432 
Knight_248   Bishop_35  -99505 -172056 
Knight_249   Bishop_176  33472 4804 
Knight_250   Rook_196  -170327 -113654 
Knight_251   Knight_189  220087 33825 
Queen_252   Rook_212  220196 127328 
Queen_253   Knight_1  -24308 -173443 
Rook_254   King_178  33809 72469 
Queen_255   Bishop_35  -230258 97609 
King_256   Bishop_55  145196 55774 
Bishop_257   Bishop_109  177600 -614 
Knight_258   Knight_233  -29680 129595 
Bishop_259   Knight_131  -8986 96444 
King_260   King_164  160498 30072 
King_261   Queen_9  -107430 -126158 
Rook_262   King_97  229723 -16574 
Queen_263   Queen_73  -199921 241922 
King_264   Knight_165  -92913 10518 
Rook_265   Queen_60  -31772 66008 
King_266   Queen_222  -4194 14665 
Bishop_267   Bishop_230  -39867 -234384 
Knight_268   Queen_60  -9275 15021 
Queen_269   Bishop_127  -137234 -68864 
King_270   King_31  108654 138213 
Rook_271   Queen_18  181001 -187052 
Knight_272   Bishop_157  -192480 132760 
Knight_273   Rook_262  -108493 78740 
Rook_274   Knight_177  -178930 -123674 
King_275   Rook_111  219330 91022 
Queen_276   Rook_32  22901 -233068 
King_277   King_28  226714 -91292 
Queen_278   Queen_9  -25541 6632 
Knight_279   Bishop_257  -90750 187855 
Bishop_280   Queen_22  -65705 61349 
Queen_281   Rook_254  -94555 -291 
Bishop_282   Bishop_25  -261596 21351 
Rook_283   Bishop_35  -60131 105194 
Rook_284   Bishop_40  109938 -40434 
Queen_285   Knight_224  20518 -1311 
Bishop_286   Bishop_88  215093 135866 
Knight_287   Queen_115  94047 117877 
King_288   Queen_34  -234182 -54587 
Queen_289   King_6  -79018 -139486 
Rook_290   Queen_16  7437 -205435 
King_291   Knight_125  66631 92392 
Queen_292   Bishop_280  -1560 -66506 
Queen_293   King_28  37742 -79837 
Rook_294   Queen_22  -7539 -53376 
Bishop_295   Rook_237  31800 -67419 
Queen_296   Bishop_171  -120878 -67983 
Knight_297   Queen_200  143923 -124305 
Queen_298   Knight_210  -291129 19682 
Rook_299   King_30  -114286 247731 
Rook_300   Knight_223  152703 -9867 
Knight_301   Bishop_35  -20073 116933 
Queen_302   Queen_263  267663 -238561 
Bishop_303   Bishop_74  -86900 225102 
Queen_304   Bishop_204  144430 193686 
Knight_305   Bishop_280  -67499 -39120 
Rook_306   Queen_234  77653 -17215 
Queen_307   Knight_189  12301 -51646 
Bishop_308   Rook_237  155574 99742 
Queen_309   Rook_229  -36327 -1111 
Bishop_310   Rook_128  -87004 187155 
Rook_311   Rook_274  28118 178220 
King_312   Rook_247  -226826 164911 
King_313   King_53  61394 -113675 
Knight_314   King_164  147517 -42295 
King_315   King_10  -15125 262423 
Rook_316   Bishop_55  180638 206836 
Rook_317   Queen_34  5251 53329 
Rook_318   Bishop_172  22947 212572 
Queen_319   Knight_75  -26544 -119845 
Bishop_320   Knight_191  -39266 12637 
Rook_321   Bishop_303  53119 44021 
Bishop_322   King_31  -157596 65628 
Bishop_323   Queen_269  86456 64913 
Queen_324   Queen_298  253550 117808 
Bishop_325   Knight_103  -123033 -33794 
King_326   Queen_276  156072 128342 
Bishop_327   Bishop_133  -200058 16501 
King_328   Origin  260731 52780 
Bishop_329   Queen_222  88648 240408 
Bishop_330   Queen_302  -210819 44604 
Queen_331   King_182  -204717 -193110 
Knight_332   King_67  -16934 -146329 
Bishop_333   Bishop_181  201104 -170629 
Rook_334   Knight_272  128503 32730 
Queen_335   Bishop_109  166574 51869 
Bishop_336   Bishop_235  -139375 93473 
Knight_337   Queen_222  70270 7795 
King_338   Queen_48  -251582 60164 
Bishop_339   Queen_152  -7986 -124198 
Bishop_340   Bishop_236  -215951 63804 
Bishop_341   Queen_309  37097 13707 
Rook_342   Queen_331  88365 -23854 
King_343   Rook_20  73784 120222 
Rook_344   Knight_70  -64222 -269518 
Rook_345   Queen_37  -6612 100894 
Queen_346   Bishop_92  -182950 25771 
Knight_347   Queen_319  18920 220545 
Rook_348   Rook_32  5566 34020 
Rook_349   King_78  -85218 -103269 
Knight_350   Bishop_168  46688 -51959 
Knight_351   Bishop_99  91068 220218 
Bishop_352   Bishop_230  55802 23909 
Rook_353   Bishop_267  -36496 147507 
King_354   King_30  93532 150070 
King_355   Knight_102  -80306 -135119 
Bishop_356   Bishop_341  167254 -9304 
King_357   Knight_160  21670 112282 
Queen_358   Bishop_242  73938 -17963 
Rook_359   King_151  -70887 -29018 
Queen_360   Bishop_120  -209280 197125 
Knight_361   King_219  287065 -165349 
Knight_362   Knight_215  -35529 -45380 
Queen_363   King_139  -87678 71006 
King_364   Queen_289  41928 -15135 
Knight_365   Queen_22  -4340 -190195 
Knight_366   Knight_64  92083 -50793 
King_367   Rook_262  -258422 -31772 
King_368   Knight_347  -224291 -266237 
Knight_369   Bishop_230  -181919 -189212 
Queen_370   King_162  -8366 -207952 
Knight_371   Rook_79  73899 9596 
Queen_372   Bishop_172  55038 -64828 
Knight_373   King_364  70741 76842 
Rook_374   King_140  32528 -61867 
Bishop_375   Rook_348  140969 -179592 
Bishop_376   Knight_332  132018 137390 
Knight_377   Rook_262  -218024 126027 
King_378   Rook_247  -260723 54478 
Bishop_379   King_364  138665 84509 
Rook_380   Queen_193  201588 -106094 
Knight_381   Rook_128  -15334 157485 
Rook_382   King_10  -30618 143510 
Bishop_383   Bishop_61  150961 -73402 
Bishop_384   King_5  20603 76046 
Knight_385   King_326  -275237 66290 
Knight_386   King_343  -69802 74928 
Bishop_387   Queen_48  -266175 109743 
Bishop_388   Queen_54  33943 -202413 
Queen_389   King_28  -1611 -5578 
Queen_390   Knight_239  -94646 -102267 
Knight_391   Rook_382  1847 -90924 
Queen_392   Bishop_61  -92115 -141816 
Knight_393   Rook_353  -109758 -100137 
Rook_394   King_291  62674 97650 
Queen_395   Knight_180  226697 56024 
Knight_396   Knight_386  39568 -236636 
King_397   Queen_142  121092 177358 
Rook_398   Bishop_132  93771 -91653 
Queen_399   Bishop_376  130571 -206881 
Queen_400   Bishop_172  72384 -55490 
Queen_401   Bishop_242  128448 -88376 
Knight_402   Knight_201  261809 43577 
Bishop_403   Bishop_282  212960 172942 
Knight_404   Bishop_55  220195 252851 
King_405   Queen_19  -28923 -93396 
Bishop_406   Bishop_52  61008 -42205 
King_407   Queen_193  31667 -33910 
Rook_408   Rook_45  145880 67271 
Queen_409   Knight_347  29568 -94437 
King_410   Knight_385  156479 -114795 
Queen_411   Bishop_109  106991 246264 
Knight_412   Bishop_120  -57652 72152 
Rook_413   Queen_57  -9444 83281 
King_414   Queen_324  13394 -48118 
Knight_415   Rook_359  47508 81277 
Rook_416   King_354  -214620 2874 
Rook_417   King_291  138746 -141652 
Bishop_418   Rook_128  -22794 91719 
Queen_419   Queen_401  -39733 114178 
Queen_420   Rook_294  29500 30314 
Knight_421   King_245  202292 -215019 
Bishop_422   Knight_381  -266112 9683 
Queen_423   Bishop_157  55518 194471 
King_424   Bishop_242  58284 -141281 
King_425   Knight_268  -79771 138189 
Rook_426   King_10  179600 -11040 
Bishop_427   Rook_247  -132095 -53165 
King_428   Knight_137  -36050 176781 
Bishop_429   Rook_265  81106 -161256 
Queen_430   King_354  -150066 -16235 
King_431   Queen_174  240171 -78212 
Queen_432   Queen_400  19976 204464 
Bishop_433   Knight_250  -45470 78006 
Queen_434   Knight_337  -93633 239634 
Rook_435   Rook_247  -48037 -48319 
Knight_436   King_428  36061 -114605 
Queen_437   King_277  -191137 225046 
Knight_438   Queen_324  -154186 -68461 
Rook_439   Rook_321  15643 -256438 
Queen_440   King_266  75391 89291 
Bishop_441   King_164  6097 107918 
Bishop_442   Knight_332  200928 -50371 
King_443   Queen_400  30927 156299 
Rook_444   Bishop_442  -32707 240176 
King_445   Rook_408  -142524 -40084 
Rook_446   Queen_54  -62715 27879 
King_447   King_192  -185036 -44699 
Knight_448   King_326  -271219 102523 
Knight_449   Queen_370  91878 -16755 
Rook_450   Rook_113  -62608 70314 
Knight_451   Bishop_322  53288 -43924 
Queen_452   Knight_436  -153127 110963 
Bishop_453   Queen_115  -145588 236861 
Queen_454   Knight_287  -198122 127063 
King_455   Bishop_336  125389 9828 
King_456   Rook_170  123685 -40806 
Bishop_457   Queen_246  -86879 -10779 
Bishop_458   King_208  85925 -17480 
King_459   Bishop_2  79021 -11977 
Rook_460   King_405  -64180 97660 
Bishop_461   King_447  -31925 29014 
King_462   King_447  -77493 -224517 
Bishop_463   Knight_149  -230559 14376 
Rook_464   Knight_198  123925 -82722 
Queen_465   Queen_222  -51550 -2194 
King_466   Knight_64  -91887 -81557 
Queen_467   Knight_165  28548 -54646 
Knight_468   Bishop_257  -43463 236446 
Queen_469   Rook_416  51375 -3589 
Rook_470   Rook_119  -51582 119946 
Rook_471   Knight_210  -167727 215830 
Knight_472   Rook_13  244911 -141223 
Bishop_473   Rook_380  -25919 14991 
Rook_474   King_84  -81684 -31968 
Knight_475   Knight_273  -25220 -107273 
Knight_476   Bishop_384  -122297 98084 
Queen_477   Queen_200  116031 -148046 
King_478   King_455  -218789 -32783 
King_479   Rook_244  136548 57320 
Knight_480   Rook_334  -116874 17208 
Knight_481   Queen_207  -16395 -261303 
Bishop_482   Bishop_194  -236645 5864 
Rook_483   Queen_153  -94418 -71919 
Bishop_484   Knight_117  23936 -94137 
King_485   Bishop_458  -9766 -15605 
Queen_486   Bishop_185  -101015 258359 
Rook_487   King_315  235517 -246055 
Queen_488   Knight_66  15629 -188047 
Queen_489   Knight_165  -161600 -96389 
Queen_490   Rook_316  -215944 -25734 
Queen_491   Bishop_80  16095 -139592 
Knight_492   Bishop_116  -100279 -216975 
Bishop_493   Knight_156  -197726 101959 
Knight_494   Rook_300  -78170 -107199 
Bishop_495   Queen_452  281146 -113271 
Bishop_496   Bishop_181  19593 -89964 
Rook_497   Knight_448  281250 -118157 
Bishop_498   King_256  -14800 98629 
Rook_499   Bishop_235  -146717 171011 
Knight_500   Knight_451  133851 86110 
Bishop_501   Queen_115  -15008 58587 
Queen_502   King_328  -119184 960 
Bishop_503   King_140  160788 -66824 
Rook_504   Queen_193  -30249 -161367 
Rook_505   Rook_417  12961 75076 
Queen_506   Queen_60  3479 -27282 
Knight_507   Queen_38  22604 12117 
King_508   Bishop_206  -124574 -15459 
Bishop_509   Rook_342  -54606 62551 
King_510   Rook_321  85279 16948 
Bishop_511   King_291  95248 97704 
King_512   Knight_377  101325 -90385 
Bishop_513   Knight_189  82331 -61781 
Queen_514   Queen_115  -122511 197834 
Knight_515   Rook_345  -19797 -27103 
Rook_516   Knight_233  42079 124723 
King_517   Knight_75  -186407 -56745 
King_518   King_30  -102748 30625 
Bishop_519   Knight_449  -2919 134710 
King_520   Rook_499  144486 -250085 
Rook_521   Queen_292  -49588 28451 
Queen_522   Bishop_496  25010 97503 
Knight_523   Rook_244  105317 -132463 
King_524   Rook_435  -125333 -63153 
Rook_525   Knight_347  -86827 -130023 
Knight_526   Bishop_325  26079 -37322 
Queen_527   Knight_173  56967 2680 
Bishop_528   Queen_370  -113261 -2713 
Queen_529   King_424  105769 48582 
King_530   Bishop_148  -35700 66888 
King_531   Rook_426  -25283 103671 
King_532   Knight_481  -60846 38802 
Rook_533   Knight_180  220666 95812 
King_534   Queen_358  11971 -95960 
Bishop_535   Bishop_176  -52084 -90493 
Knight_536   Knight_191  -145914 -219061 
Queen_537   Rook_122  38188 -76243 
King_538   King_368  214099 75405 
King_539   Queen_419  -177806 -229571 
Queen_540   King_518  130611 91978 
King_541   Rook_334  -44609 -35776 
Rook_542   Bishop_176  69062 -2837 
Queen_543   King_84  -203532 -177589 
Knight_544   Queen_278  110930 -141500 
Knight_545   King_151  34117 -86249 
Queen_546   Rook_136  -51265 99632 
King_547   Bishop_406  -265497 -99704 
Queen_548   King_30  -182441 159739 
King_549   Rook_334  -104535 24760 
Bishop_550   Knight_396  230343 113841 
King_551   King_466  -9580 94122 
King_552   Rook_184  -78936 -117938 
Queen_553   Rook_299  5147 -165746 
King_554   Bishop_61  -32601 69030 
Rook_555   Queen_115  -108812 253328 
Queen_556   Bishop_148  14048 -121688 
King_557   Rook_7  -35591 -56818 
King_558   Queen_420  87418 48407 
Rook_559   Rook_244  68361 -64646 
Knight_560   King_315  17929 -149066 
Rook_561   Queen_293  88114 193285 
Knight_562   King_541  6947 -119645 
Bishop_563   Queen_390  180349 -68089 
Rook_564   Bishop_403  48724 -265631 
King_565   King_328  -181161 25433 
Bishop_566   Knight_117  -11043 41329 
Knight_567   Bishop_323  91138 -77886 
Queen_568   Knight_225  244075 98611 
Queen_569   Bishop_519  61790 -143760 
King_570   Queen_83  -99316 -65692 
King_571   Queen_207  112418 -209692 
King_572   Bishop_186  193318 229601 
King_573   Bishop_295  78455 47815 
Bishop_574   Queen_26  -25984 259678 
Rook_575   Rook_274  31366 -30565 
Queen_576   Rook_353  126432 -144887 
Bishop_577   Bishop_513  103771 37264 
King_578   King_0  -154852 71627 
Knight_579   Knight_494  -51877 -55072 
King_580   Bishop_242  -79457 -67354 
Rook_581   Bishop_511  -46153 -219169 
Queen_582   King_328  -183956 65055 
Queen_583   Queen_51  -237914 -43387 
Queen_584   Queen_568  -295757 -33907 
Knight_585   Bishop_387  286047 -165921 
King_586   Bishop_120  -63298 78206 
Knight_587   Queen_537  111817 125181 
Queen_588   Queen_169  -42095 107051 
King_589   Queen_372  145784 112592 
Bishop_590   Knight_404  -49709 -204065 
Rook_591   Rook_348  -97858 -195317 
Rook_592   Knight_377  43221 -93799 
Rook_593   Knight_393  87939 41448 
Bishop_594   King_59  74487 -105951 
Knight_595   Rook_147  22054 17264 
Bishop_596   King_485  66789 -30282 
King_597   Rook_394  -83817 -65351 
Rook_598   Queen_60  -120048 132039 
King_599   Knight_472  32411 157857 
Bishop_600   Queen_193  223997 28903 
Bishop_601   Rook_474  -169876 -181895 
Queen_602   Queen_200  110959 -153395 
Knight_603   King_355  -33866 110586 
King_604   Bishop_333  -105552 21923 
Queen_605   Knight_562  168394 200216 
Queen_606   Bishop_341  -13318 -184688 
King_607   Knight_404  -171236 -66135 
Knight_608   Queen_58  -180596 55886 
Rook_609   Queen_606  69153 67366 
Rook_610   King_456  -198985 56625 
Knight_611   Bishop_422  193561 -57076 
Queen_612   King_264  80352 -60913 
Queen_613   King_462  30489 65573 
Knight_614   Rook_111  79274 -45132 
Bishop_615   Rook_533  -108089 4966 
King_616   Queen_491  77296 89911 
Knight_617   Rook_14  115206 162954 
Queen_618   Queen_401  -169893 167040 
Bishop_619   Queen_16  134974 13595 
King_620   Rook_87  163989 177392 
Queen_621   Queen_432  82589 -44347 
Bishop_622   Bishop_375  21455 53694 
Queen_623   King_63  145924 -105665 
Knight_624   Queen_331  185472 -18550 
Rook_625   Rook_20  76745 -66517 
Queen_626   Rook_592  -73964 -10280 
Knight_627   Knight_365  58727 191930 
Bishop_628   Knight_43  255509 -151488 
Queen_629   Rook_284  -121295 56855 
Knight_630   Bishop_257  -25146 7672 
Bishop_631   King_538  -3373 180480 
Bishop_632   Rook_3  -89773 -161176 
Rook_633   Bishop_96  -254802 -40208 
Bishop_634   Bishop_105  139150 -98419 
Knight_635   Knight_64  -95554 -12549 
Bishop_636   King_572  -42750 -163428 
Bishop_637   Queen_623  -98986 147102 
Bishop_638   Rook_87  15023 67611 
Bishop_639   Queen_553  185707 -3846 
Queen_640   King_0  -3962 105354 
King_641   Rook_471  31539 -94336 
King_642   Queen_370  89476 122334 
Queen_643   King_260  -21822 -139591 
Rook_644   Rook_226  -94672 -137531 
Queen_645   Bishop_100  -87176 87742 
Queen_646   Bishop_433  -40485 -35944 
Knight_647   Bishop_176  -26604 -107360 
Queen_648   King_97  153451 111902 
Rook_649   Rook_158  -87334 -194907 
Queen_650   Rook_408  -168902 110873 
Rook_651   Bishop_168  194978 -110164 
Rook_652   Bishop_563  85015 63003 
Rook_653   Bishop_325  208697 56032 
Queen_654   King_518  148333 -12635 
Queen_655   King_414  -108867 90743 
Rook_656   King_642  -105552 7144 
King_657   Knight_579  135618 173860 
Knight_658   Knight_221  -73898 207995 
Knight_659   Rook_24  -48055 -9586 
Queen_660   Bishop_148  -177409 28399 
King_661   Knight_350  -538 -168817 
Queen_662   Queen_576  -241612 238775 
Bishop_663   Rook_119  -204704 78488 
Knight_664   Bishop_163  64397 108927 
Bishop_665   Bishop_96  -75976 -608 
Queen_666   Bishop_375  -95230 -37439 
King_667   Knight_396  92757 -10568 
Knight_668   Knight_351  -171940 -178456 
Queen_669   Queen_491  101260 51224 
Knight_670   King_355  -56793 -9003 
Queen_671   Knight_225  214189 -79248 
King_672   King_414  -163261 -31284 
King_673   Rook_237  65737 19418 
Rook_674   Queen_514  236772 -122905 
Bishop_675   King_447  52250 -185904 
King_676   Bishop_176  -36906 -67520 
Knight_677   Knight_523  -122515 51574 
Knight_678   Rook_353  47937 -1668 
Rook_679   Knight_448  89762 -138938 
Rook_680   Knight_27  -200869 97297 
Queen_681   King_76  163694 -192803 
Rook_682   King_604  -66872 222550 
Queen_683   Bishop_236  -51364 208308 
Queen_684   Knight_65  -48177 62156 
Queen_685   Bishop_388  -65760 101505 
Queen_686   King_539  248656 61058 
Queen_687   Bishop_323  71146 19614 
King_688   King_150  -36392 -82336 
King_689   Bishop_632  -106149 116687 
King_690   Knight_624  -61824 162501 
Queen_691   Rook_158  -236393 -201986 
King_692   Rook_575  191701 163161 
King_693   Queen_686  -242791 179239 
Rook_694   Queen_401  -68321 30047 
Rook_695   Rook_69  197690 -117188 
Bishop_696   Knight_117  65257 39936 
Rook_697   Knight_337  -82522 201082 
Bishop_698   Bishop_427  -75094 6484 
Bishop_699   Bishop_453  91342 -104486 
Bishop_700   Queen_576  -135674 120983 
King_701   Rook_533  -41779 -164383 
Queen_702   King_520  -134348 191359 
Queen_703   Bishop_550  -216796 -141087 
Queen_704   King_39  168229 179452 
Rook_705   King_597  3056 20414 
Bishop_706   Rook_674  -178606 76006 
King_707   Bishop_159  45311 -15322 
Knight_708   Knight_371  -93345 35293 
Queen_709   Knight_362  49689 -30204 
Knight_710   King_407  169625 -124058 
King_711   Queen_252  -18892 -95797 
